model,origin,child_asin,colour,size,y_units,pred,lo,hi
size_ratio,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,102.3741143724696,23.751267665770207,430.74384708670635
ridge,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,0.4000319627856306,0.0,4.496645022835254
ridge,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,0.01142192853075674,0.0,2.9709288482124916
ridge,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,21.362890996474963,11.87497119797466,37.84271941508426
lasso,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,1.1416922937624228,0.0,7.219576236181829
lasso,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,0.6735477590104861,0.0,5.914557751853172
lasso,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,40.98785383297453,21.128877344288796,78.66874424175151
elasticnet,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,1.1678755369579354,0.0,6.95751179723
elasticnet,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,0.6437020216809177,0.0,5.587252951082589
elasticnet,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,39.42413480555362,21.83440111026848,70.56354427192413
poisson_glm,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,0.23334808874686944,0.0,4.587644544128786
poisson_glm,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,0.23737133165629834,0.0,4.605871719001549
poisson_glm,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,44.56723423256842,19.013755040317793,102.74728937287844
negbin_glm,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,0.26722139651245974,0.0,0.9634908262648203
negbin_glm,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,0.2718286619695713,0.0,0.9746474620117054
negbin_glm,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,49.41879252948582,8.794473341874074,90.04311171709756
random_forest,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,39.25978686926503,13.338662471408492,102.33640998356854
random_forest,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,35.09635813292763,13.423166815445429,96.02493818846979
random_forest,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,38.488383555569165,15.15340223009146,92.79728758149702
xgboost,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,14.863765716552734,3.1126301288604736,67.39561462402344
xgboost,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,16.98879051208496,3.0803723335266113,68.26338958740234
xgboost,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,19.025684356689453,3.3338475227355957,83.01659393310547
lightgbm,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,12.296278859798015,8.789673826464774,68.3952413765796
lightgbm,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,12.594008282409481,8.537494313082563,73.26168946516837
lightgbm,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,17.09440301669069,12.959865192859509,58.881679174172156
gompertz,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,1.2880293002185734,0.0,6.8933462631213995
gompertz,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,0.0,0.0,2.9696533685519024
gompertz,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,17.171189467456625,9.023508662194141,31.941770969640455
logistic,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,1.3739328788695757,0.0,6.9016379916929855
logistic,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,0.0,0.0,2.9586160957087975
logistic,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,18.248289169514756,9.738298146664313,33.50236069933931
bass,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,1.366287509286506,0.0,6.889925130964287
bass,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,0.0,0.0,2.9550256680459497
bass,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,18.58819459658369,9.966893323126367,33.98687880409222
hier_bayes,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,17.258331827505188,1.0,40.0
hier_bayes,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,5.02401787246046,0.0,12.100000000000023
hier_bayes,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,79.63035886602532,17.0,157.0
knn_lookalike,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,80.23933057417827,52.20081968666273,107.81052042802919
knn_lookalike,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,34.38724967473843,6.739102249709272,65.43839439495521
knn_lookalike,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,51.211066516553586,22.882938673912275,81.377375138446
matrix_factorisation,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,43.68795797465789,27.14832005085422,69.94610208839754
matrix_factorisation,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,27.88954745207267,16.79242653322664,45.90793301447476
matrix_factorisation,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,28.83495584027852,17.411393990249195,47.34639845645505
cluster_pool,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,71.78688524590163,23.230627938064448,217.64603250654574
cluster_pool,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,45.459016393442624,14.373494575290243,139.4001018555289
cluster_pool,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,57.0,18.256136487517217,173.69755691546484
ensemble,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,12.075455289780766,0.0,74.68456706290044
ensemble,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,11.237585584322556,0.5101559631492165,68.78482687174898
ensemble,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,22.810856437036666,1.1924950556119693,75.51601930577405
heuristic,2023-01-01,B0B7B9W8ZH,Textured - Cream Boho Tufted,Oversized King,43.0,8.21569400630915,1.4992025936986537,32.98244553365042
heuristic,2023-01-01,B0BJDKYW2W,Textured - Cream Boho Tufted,King,22.0,26.474252365930603,6.863710668332954,94.98961290711652
heuristic,2023-01-01,B0BJDMVDWF,Textured - White Seersucker,Queen,5.0,32.8627760252366,8.739166114587755,116.73981331089304
heuristic,2023-01-01,B0BJDMYTZG,Textured - Cream Boho Tufted,Queen,24.0,32.8627760252366,8.739166114587755,116.73981331089304
